#,Tracker,Status,Priority,Subject,Assignee,Updated,Description
21628,Ошибка,Новая,Нормальный,"[L10N] В описании графика работы UA локализации используется сокращение ""сб-вс"" в футере сайта",Христина Шкільна,09/16/2023 10:08 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Обратить внимание на график работы магазина в футере сайта

*Ожидаемый результат:* в описании графика работы используется сокращение ""сб-нд"" в футере сайта
*Фактический результат:* в описании графика работы используется сокращение ""сб-вс"" в футере сайта

https://gyazo.com/6e238080003495f9cc4e18f9c1bc176d"
21627,Ошибка,Новая,Нормальный,"[L10N] При поисковом запросе ""Рыбалка"" выводятся результаты поиска содержащие русские слова в UA локализации",Христина Шкільна,09/16/2023 10:09 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) В строку поиска ввести слово ""Рыбалка""
3) Обратить внимание на результаты поиска

*Ожидаемый результат:* При поисковом запросе ""Рыбалка"" не выводятся результаты на русском языке
*Фактический результат:* При поисковом запросе ""Рыбалка"" выводятся результаты на русском языке

https://gyazo.com/2706bd37e1c317304fff474b2b53080c"
21626,Ошибка,Новая,Низкий,"Не соответствие шрифтов в поле ""Сравнение""",Anastasiia Yeromenko,09/16/2023 09:59 PM,"1. Открыть сайт
2. Добавить два любых товара из одной категории в ""Сравнение""
3. Перейти в ""Сравнение""

Ожидаемый результат: Текст в каждой строке будет начинается с большой буквы
Фактический результат: Текст в некоторых пунктах начинается не с заглавной буквы

https://prnt.sc/iEknUpxloZnO"
21625,Ошибка,Новая,Низкий,[L10N] Не полная локализация главной страницы,Anastasiia Yeromenko,09/16/2023 09:50 PM,"1. Открыть сайт 

Ожидаемый результат: Главная страница сайта будет полностью переведена
Фактический результат: Главаная страница не полностью переведена

https://prnt.sc/-1r3AZ5w3jr5"
21624,Ошибка,Новая,Нормальный,"Выводится текст ""Не удается получить доступ к сайту"" при попытке перейти на инстаграм страницу",Anastasiia Yeromenko,09/16/2023 09:46 PM,"1. Открыть сайт
2. Прейти по ссылке в инстаграм
*
Ожидаемый результат:* На сайте будет рабочая ссылка на инстаграм проекта
*Фактический результат:* На сайте нерабочая ссылка на инстаграм проекта

https://prnt.sc/qVxgQAY3Bx5H"
21623,Ошибка,Новая,Низкий,"Отсутвует описание для бренда ""Smmo key""",Anastasiia Yeromenko,09/16/2023 09:36 PM,"1. Открыть сайт
2. Перейти в ""Бренды""
3. Выбрать бренд ""Smmo key""

*Ожидаемы результат:* У каждого бренда будет описание
*Фактический результат:* У бренда Smmo key отсутствует описание

https://prnt.sc/zleRgSh8zwxN"
21622,Ошибка,Новая,Нормальный,"Некликабельный пункт ""Допомога"" на странице прицелов",Anastasiia Yeromenko,09/16/2023 09:31 PM,"1. Открыть сайт 
2. Перейти на страницу ""Оптика и комплектующее""

Ожидаемый результат: 
Фактический результат:

https://prnt.sc/EKYT5h0nPe8i"
21621,Ошибка,Новая,Нормальный,"[L10N]  не полностью переведено описание товара ""Грузила рибальські""",Anastasiia Yeromenko,09/16/2023 09:26 PM,"*Ожидаемый результат:* Сайт будет полностью переведен
*Фактический результат:* На сайте присутвуют ошибки с переводом

https://prnt.sc/t-XdN8mmFX6D"
21620,Ошибка,Новая,Нормальный,Отсутствуют некоторые типов ярлыков в поисковике ярликов,Anastasiia Yeromenko,09/16/2023 09:18 PM,"*Ожидаемый результат:*
*Фактический результат:*

https://prnt.sc/bfdXfyPrKSOg"
21496,Ошибка,Новая,Нормальный,  Отсутсвует автоматически скрол в низ при развертывании секции в боковом меню ,Лилия Вегнер ,07/19/2023 08:58 PM," Отсутсвует автоматически скрол в низ при развертывании секции в боковом меню 
*Шаги воспроизведения:*
1. Запустить браузер Opera 
2. Открыть боковое меню 
3. Нажать на кнопку ""подробнее"" в секции ""Мессенджеры""
4. Обратить внимание на поведение скрола 


*Ожидаемый результат:* 
Автоматический скрол вниз если секция выходит за видимую область

*Актуальный результат:*
При нажатия подробнее секция не подскраливает вниз для отображении всей секции
https://prnt.sc/CgxxKqIKta0c
*Браузер:*
Opera (macOS 11.6.1)
"
21495,Ошибка,Новая,Нормальный,"[FF] Смешение расстояния между логотипом и баннером ""Аррle"" в хедере ",Сергей Пидтесаный,07/19/2023 08:51 PM,"Растояние между логотипом и баннером уменьшено
 _Шаги воспроизведения:_
 1) Открыть сайт
 2) Зайти в Apple
 
 _ _Ожидаемый результат:
 Расстояние не измненяется

https://prnt.sc/IU0d92xMEJVR"
21494,Ошибка,Новая,Нормальный,Смещения скрам меню [ME vs GH],Дмитрий Радишевский,07/19/2023 08:43 PM,"1. Шаги воспроизведения: Открываем сайт https://ringoo.ua/

Ожидаемый результат: Размещение скрам меню однообразно на [MEиGH]

Фактический результат: Cкрам меню [ME] смещено влево относительно [GH]


Ссылки:https://gyazo.com/ebd67281a01a884bf69f2d0f4f7d1b4c"
21493,Ошибка,Новая,Низкий,"[FF] Изменен размер текста ""Каталог товаров"" в Хэдере сайта ",Алина  Качуривская  ,07/19/2023 08:41 PM,"*Шаги воспроизведения:*
1. Открыть сайт https://ringoo.ua/
2. Обратить внимание на ""Каталог товаров"" в Хэдере

*Ожидаемый результат:* [FF]Размер текста ""Каталог товаров"" не изменен в Хэдере сайта 
*Фактический результат:* [FF] Изменен размер текста ""Каталог товаров"" в Хэдере сайта 

https://prnt.sc/aND47N0FpXNk"
21492,Ошибка,Новая,Нормальный,"[FF] Измененная ширина элемент скроллинга на странице ""Публічна оферта""",Anastasiia Yeromenko,07/19/2023 08:39 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Перейти во вкладку ""Публічна оферта""
*Ожидаемый результат:* Элемент скролинга будет одинаковой ширины и высоты
*Фактический результат:* Элемент скролинга более широкий
https://prnt.sc/E6jS6wlUo-Qi"
21491,Ошибка,Новая,Нормальный,"[GH] Не отображается карта в разделе ""Магазины""",Христина Шкільна,07/19/2023 08:38 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Кликнуть на кнопку ""Магазины"" в хедере главной страницы сайта, нажать enter

*Ожидаемый результат:* при переходе в раздел ""Магазины"" отображается карта
*Фактический результат:* не отображается карта при переходе в раздел ""Магазины""

https://gyazo.com/3ab8d8b02567a27ac51f47fcf3f563f4"
21490,Ошибка,Новая,Низкий,"[FF] Невелика, порівняно з іншими браузерами, кнопка ""потрібна допомога""",Сергій Колесник,07/19/2023 08:35 PM,"*Алгоритм дій:*
1) Відкрити сайт https://ringoo.ua/ у браузері Mozilla Firefox
2) Дочекатись появи кнопки ""Потрібна допомога""

*Очікуваний результат:* Кнопка має бути повнорозмірна
*Фактичний результат:* Невелика, порівняно з іншими браузерами, кнопка ""потрібна допомога""

https://gyazo.com/ed0fcaead1c390393c6afc1c984b380d
https://gyazo.com/e38f547bd6cb626f3904aece603451e6"
21489,Ошибка,Новая,Нормальный,"[ME, FF]Не отображается карта и адреса магазинов в странице ""Магазины"" в хедере главной страницы ",Юрий Талаш,07/19/2023 08:38 PM,"*Шаги воспроизведения:*
 [ME,FF]1) Открыть сайт https://ringoo.ua/ 
2) Переходим в Магазины в хедере
*Ожидаемый результат:* Отображается карта
*Фактический результат*  : Карта не отображается

https://prnt.sc/CeR64QDkrWBE

https://prnt.sc/INxiRldDUzat"
21488,Ошибка,Новая,Низкий,"Значок ф-ти ""Потрiбна допомога"" накладывается на значок стрелочки прокрутки вверх в футере ",Михаил Григорьев,07/19/2023 08:33 PM,"*Шаги воспроизведения*
1.Открыть сайт https://ringoo.ua/
2.Порокрутить колесиком мыши вверх или вниз 

*Ожидаемый результат*
Значок ф-ти ""Потрiбна допомога"" не накладывается на значок стрелочки прокрутки вверх в футере 

*Фактический результат*
Значок ф-ти ""Потрiбна допомога"" накладывается на значок стрелочки прокрутки вверх в футере 


*Link*
https://prnt.sc/DcqVjS1DKDz7
"
21487,Ошибка,Новая,Низкий,"Смещение элемента ""Подарок%""  в футере сайта (ОР)",Алина  Качуривская  ,07/19/2023 08:31 PM,"Шаги воспроизведения:
1) Открыть сайт https://ringoo.ua/
2) Спуститься в Футер

*Ожидаемый результат:* Отсутствует смещение элемента ""Подарок%""  в футере сайта (ОР)
*Фактический результат:* Смещение элемента ""Подарок%""  в футере сайта (ОР)


https://prnt.sc/3FWzul5de7c7"
21486,Ошибка,Новая,Нормальный,"[FF] Отличается текст на дне сайта с права ""Всі права захищені. “ringoo” Copyright © 2023""",Anastasiia Yeromenko,07/19/2023 08:28 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* В нижнем углу отображает текст "" Для надання Вам найкращого сервісу ми використовуємо cookies.""
*Фактический результат:*В нижнем углу отображает текст "" Всі права захищені. “ringoo” Copyright © 2023 ""

https://prnt.sc/jeFr65Mb9lo5
"
21485,Ошибка,Новая,Нормальный,[OP]Отсутсвует всплывающая картинка скидки,Anastasiia Yeromenko,07/19/2023 08:24 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* Слева в нижнем углу экрана будет картинка с подарком
*Фактический результат:* Слева в нижнем углу экрана нет картинки с подарком

http://skrinshoter.ru/p/190723/VqtZ2W"
21433,Ошибка,Новая,Нормальный,L10N C Kubo-Verde,Михаил Григорьев,07/12/2023 09:09 PM," Шаги воспроизведения: 1. Открываем официальный сайт Hennessy
                       2. Регистрируемся как житель Кабо- Верде

 Ожидаемый результат:  При входе на официальный сайт Hennessy как житель Кабо-Верде локализация португальская.

 Фактический результат: При входе на официальный сайт Hennessy как житель Кабо-Верде локализация английская.

Ссылка:  https://www.hennessy.com/en-int"
