#,Tracker,Status,Priority,Subject,Assignee,Updated,Description
21208,Ошибка,Новая,Низкий,"Ошибка в написании ""Все відео"" в украинской локализации сайта в разделе ""Новини"" в футере",Христина Шкільна,06/14/2023 08:08 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* написание ""Все відео"" в украинской локализации сайта в разделе ""Новини"" в футере звучит так ""Всі відео""
*Фактический результат:* ошибка в слове ""Все відео"" в украинской локализации сайта в разделе ""Новини"" в футере

https://gyazo.com/82f98180d9bb5e42f3d7d38c8414a804"
21207,Ошибка,Новая,Низкий,"В Хедере слайды на украинском языке  при ""RU"" локализации сайта.",Алина  Качуривская  ,06/14/2023 08:08 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Выбрать ""RU"" локализацию

*Ожидаемый результат:*
В Хедере слайды на русском языке  при ""RU"" локализации.

*Фактический результат:*
В Хедере слайды на украинском языке  при ""RU"" локализации сайта.

https://prnt.sc/-chVENgGGSXQ"
21206,Ошибка,Новая,Нормальный,Ярлык перекрывает марку ствола,Anastasiia Yeromenko,06/14/2023 08:06 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* Все ярлыки будут всплывающими в сторону и не будут перекрывать марку ствола
*Фактический результат:* Ярлык постоянно раскрыт и перекрывает марку ствола

https://prnt.sc/VTsPNmiIvpAF"
21204,Ошибка,Новая,Низкий,ibis,Дмитрий Радишевский,06/14/2023 08:20 PM," Шаги воспроизведения: 1. Открываем сайт
                       2. В хедере активируем функционал ""магазины""
                       3. На всплывающем окне активируем функционал ""Магазины ИБИС в Одессе""
 Ожидаемый результат: 
                       При открытии функционала ""Магазины ИБИС в Одессе"" отображается карта местонахождения.

 Фактический результат:   При открытии функционала ""Магазины ИБИС в Одессе""  не отображается карта местонахождения."
21203,Ошибка,Новая,Низкий,"В категорії ""Магазини"" не відображається загальна мапа магазинів по конкретному місту (Київ)",Сергій Колесник,06/14/2023 08:05 PM,"*Алгоритм дій:*
1) Відкрити сайт іbis.net.ua
2) Відкрити вкладку ""Магазини""
3) Подивитись на мапу

*Очікуваний результат:* В категорії ""Магазини"" мапа має відображатись
*Фактичний результат:* В категорії ""Магазини"" не відображається загальна мапа магазинів по конкретному місту (Київ)"
21202,Ошибка,Новая,Высокий,Функциональность Instagram при использовании не переходит на страницу магазина в соц. сети,Михаил Григорьев,06/14/2023 08:04 PM,"*Шаги воспроизведения*
1.Открыть сайт https://ibis.net.ua/ru/
2.Кликнуть ф-ть Instagram

*Ожидаемый результат*
Функциональность Instagram при использовании переносит на страницу магазина в соц сети Instagram

*Фактический результат*
Функциональность Instagram при использовании не переходит на страницу магазина в соц. сети

*Link*
https://prnt.sc/wbAfSJBH-Ts9
https://prnt.sc/HP_EpNGgmT0O
"
21201,Ошибка,Новая,Высокий,"Отсутствует графическое оформление страницы ""чат-бот"" в футере (некорректное отображение)",Олександр Артьомов,06/14/2023 08:03 PM,"*Description*

*Шаги воспроизведения:*
1. Открыть сайт
2. Выбрать раздел ""чат-бот"" в футере


*Ожидаемый результат:* Присутствует графическое оформление страницы чат-бот в футере
*Фактический результат:* Отсутствует графическое оформление страницы чат-бот в футере

https://gyazo.com/82fe968a80b4e464cc18c9bd5262e023"
21200,Ошибка,Новая,Нормальный,"У товара пометка ""Скоро заканчивается"" при условии отсутствия товара в наличии",Anastasiia Yeromenko,06/14/2023 08:02 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Перейти в ""Ножи и инструменты""
3) Перейти в ""специнстументы рыболовные""
4) Перейти в ""Захваты""

*Ожидаемый результат:* Товар которого нет в наличии будет без ярлыка ""Скоро закончиться""
*Фактический результат:* Товар которого нет в наличии с ярлыком ""Скоро закончиться""

https://prnt.sc/Ap4bIVO_PXWy"
21199,Ошибка,Новая,Низкий,Некликабельна нижняя часть слайдеров на главной странице,Pavel Gerashenco,06/14/2023 07:59 PM,"*Шаги воспроизведения* :
1) Открыть сайт

*Ожидаемый результат* : Кликабельна нижняя часть слайдеров на главной странице
*Фактический результат* : Некликабельна нижняя часть слайдеров на главной странице"
21198,Ошибка,Новая,Высокий,"Ошибка установки соединения с  базой данных в разделе ""о нас"" журнал ""мир увлечений""",Олександр Артьомов,06/14/2023 07:57 PM,"*Description*

*Шаги воспроизведения:*
1. Открыть сайт
2. Выбрать раздел ""о нас"" в футере
3. Выбрать подраздел ""журнал мир увлечений""


*Ожидаемый результат:* Разделе ""о нас"", подраздел ""журнал мир увлечений"" работает и открывается
*Фактический результат:* Ошибка установки соединения с  базой данных в разделе ""о нас"" журнал ""мир увлечений""

https://gyazo.com/59740e1bf8b05b968960c68976276afe"
21197,Ошибка,Новая,Низкий,"Отсутсвтует отображение карты в подразделе ""Мережа магазинів ""ІБІС"" раздела ""Про нас"" в хедере слева",Христина Шкільна,06/14/2023 07:57 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Перейти в подраздел ""Мережа магазинів ""ІБІС"" раздела ""Про нас"" в хедере слева

*Ожидаемый результат:* отображается карта в подразделе ""Мережа магазинів ""ІБІС"" раздела ""Про нас"" в хедере слева
*Фактический результат:* не отображается карта в подразделе ""Мережа магазинів ""ІБІС"" раздела ""Про нас"" в хедере слева

https://gyazo.com/337889f1fc7d0089f5e640dc5c084305"
21196,Ошибка,Новая,Низкий,На главном банере на одном из слайдов не видна прравая стрелочка пролистывания,Михаил Григорьев,06/14/2023 07:56 PM,"*Шаги воспроизведения*
1. Открыть сайт https://ibis.net.ua/ru/
2. Пролистать слайды до 3 слайда 

*Ожадаемый результат*
Изменена цветовая гамма стрелочек пролистывания слайдов на главном банере 

*Фактический результат*
На главном банере на одном из слайдов не видна прравая стрелочка пролистывания

*Link*
https://prnt.sc/GUie6g245lOQ"
21195,Ошибка,Новая,Нормальный,Отсутвует возможность смены языка при уменьшении размера вкладки сайта,Anastasiia Yeromenko,06/14/2023 07:54 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Уменьшить ширину вкладки браузера
3) Попытаться поменять язык на сайте

*Ожидаемый результат:* Пользователь сможет поменять язык даже если сайт у него на половину экрана
*Фактический результат:* Пользователь не может поменять язык если сайт у него на половину экрана"
21187,Ошибка,Новая,Низкий,"Отсутствуют тултипы иконок функциональности (избранное, сравнение, корзина), в хедере справа.",Pavel Gerashenco,05/29/2023 10:43 PM,"*Шаги воспроизведения* :
1) Открыть сайт

*Ожидаемый результат* : Присутствуют тултипы иконок функциональности (избранное, сравнение, корзина), в хедере справа.
*Фактический результат* : Отсутствуют тултипы иконок функциональности (избранное, сравнение, корзина), в хедере справа.

https://gyazo.com/cf98920e9a283160ccb8766f63295c14"
21186,Ошибка,Новая,Нормальный,"Отсутствует описание товара, (Фонарик Esperanza mimosa) на странице, возле превью справа, при выборе Укр. локализации.",Pavel Gerashenco,05/29/2023 09:32 PM,"*Шаги воспроизведения* :
1) Открыть сайт
2) Перейти на страницу- https://qwertyshop.ua/fonarik-esperanza-mimosa-288307
3) Выбрать Укр. локализацию в хедере.


*Ожидаемый результат* :  Описание товара, (Фонарик Esperanza mimosa) присутствует на странице, возле превью справа, при выборе Укр. локализации.
*Фактический результат* : Отсутствует описание товара, (Фонарик Esperanza mimosa) на странице, возле превью справа, при выборе Укр. локализации.

https://gyazo.com/02051c65fb10fe9bcce6b10a2f4c698b
https://gyazo.com/fd1dc576eaa7823487cb5103c3907f89"
21185,Ошибка,Новая,Нормальный,"Не осуществляется переход, на соответствующею страницу, при взаимодействии с тегами, (Популярные модели-категории, новинки каталога) в футоре на главной странице.",Pavel Gerashenco,05/29/2023 09:12 PM,"*Шаги воспроизведения* :
1) Открыть сайт
2) В футоре кликнуть по тегам ""Популярные модели-категории, новинки каталога""

*Ожидаемый результат* : Осуществляется переход, на соответствующее страницы, при взаимодействии с тегами, (Популярные модели-категории, новинки каталога) в футоре на главной странице.
*Фактический результат* : Не осуществляется переход, на соответствующею страницу, при взаимодействии с тегами, (Популярные модели-категории, новинки каталога) в футоре на главной странице.

https://gyazo.com/a43fd47fc2a5aeb775ec2e2747ddd83a"
21175,Ошибка,Новая,Низкий,"Отсутствует локализация на Рус. язык, раздела ""характеристики"" на странице товара ""Ноутбук Acer Aspire 5 A515-47-R1U4...""",Pavel Gerashenco,05/28/2023 05:48 PM,"*Шаги воспроизведения* :
1) Открыть сайт
2) Перейти на страницу ""https://qwertyshop.ua/noutbuk-acer-aspire-5-a515-47-r1u4-nx-k86ex-00r-32ram-1tb-296768""
3) Выбрать Рус. локализацию в хедере.

*Ожидаемый результат* : Раздел характеристики товара ""Ноутбук Acer Aspire 5 A515-47-R1U4..."" локализирован на Рус. язык.
*Фактический результат* : Отсутствует локализация на Рус. язык, раздела ""характеристики"" на странице товара ""Ноутбук Acer Aspire 5 A515-47-R1U4...""

https://gyazo.com/5dfc51c35a09946915313a351af5a789"
21171,Ошибка,Новая,Низкий,"Номер телефона указанный для примера, возможно ввести в поле ""Ваш телефон"" в функциональности ""обратный звонок"" в хедере.",Pavel Gerashenco,05/28/2023 04:13 PM,"*Шаги воспроизведения* :
1) Открыть сайт
2) Перейти в функциональность ""обратный звонок"" в хедере.
3) Ввести номер телефона указанный для примера, в поле ""ваш телефон""

*Ожидаемый результат* : Заблокирована возможность ввода телефонных номеров, указанных для примера.
*Фактический результат* : Номер телефона указанный для примера, возможно ввести в поле ""Ваш телефон"" в функциональности ""обратный звонок"" в хедере.

https://gyazo.com/2a00ba9e91e577c1d2b83df3d416b113"
21167,Ошибка,Новая,Низкий,"Отсутствует Украинская локализация ""слайдеров"" на главной странице, при выборе функциональности (локализация на Укр. язык) в хедере.",Pavel Gerashenco,05/28/2023 03:39 PM,"*Шаги воспроизведения* :
1) Открыть сайт
2) Воспользоватся функциональностью локализация на Укр. язык в хедере.

*Ожидаемый результат* : Слайдеры локализованы на Укр. язык.
*Фактический результат* : Отсутствует Украинская локализация ""слайдеров"" на главной странице.

https://gyazo.com/2c1961ff13580400f311bd4b0fdb119b"
21165,Ошибка,Новая,Низкий,"Карта проезда не отображается, при оформлении товара, в функциональности корзина.",Pavel Gerashenco,05/28/2023 03:16 PM,"*Шаги воспроизведения* :
1) Открыть сайт
2) Положить любой товар в ""Корзину""
3) Перейти ( Корзина, оформление заказа)
4) Воспользоватся ссылкой ""Карта проезда""

*Ожидаемый результат* : Карта проезда отображается, при оформлении заказа в функциональности ""Корзина""
*Фактический результат* : Карта проезда не отображается, при оформлении товара, в функциональности корзина.

https://gyazo.com/79aed5fb4d9838de9971a3ace1df3b00
https://gyazo.com/1a8d5be74822124d789c153b39ea4d99"
21156,Ошибка,Новая,Высокий,"В разделе блог при переходе в статью ""Як підключити кондиціонер до Wi - Fi""  в украинкой локализации отсутствует текст статьи",Олександр Артьомов,05/27/2023 08:23 PM,"*Description*

*Шаги воспроизведения:*
1. Открыть сайт
2. Выбрать укр.локализацию
3. В Хедере выбрать раздел ""блог""
4. Перейти к статье ""Як підключити кондиціонер до Wi - Fi"" 

*Ожидаемый результат:* В разделе блог при переходе в статью ""Як підключити кондиціонер до Wi - Fi""  в украинкой локализации присутствует текст статьи
*Фактический результат:* В разделе блог при переходе в статью ""Як підключити кондиціонер до Wi - Fi""  в украинкой локализации отсутствует текст статьи

https://gyazo.com/bdd788469cc6188ac3171b32749f9d6d"
21155,Ошибка,Новая,Низкий,В украинской локализации текст в разделе корзина не переводятся,Олександр Артьомов,05/27/2023 08:18 PM,"Description

*Шаги воспроизведения:*
1) Открыть сайт
2) Выбрать укр.локализацию
3) Добавить любой товар в корзину
4) Перейти в корзину

*Ожидаемый результат:*  В украинской локализации текст в разделе корзина переводятся
*Фактический результат:* В украинской локализации текст в разделе корзина не переводятся

https://gyazo.com/92172fb7e44e5ffe15a16bcfde1ac65b"
21154,Ошибка,Новая,Высокий,На указанный номер при регистрации не приходит смс с паролем от личного кабинета,Олександр Артьомов,05/27/2023 08:10 PM,"Description

*Шаги воспроизведения:*
1. Открыть сайт 
2. В правом верхнем углу шапки сайта нажать на кнопку ""Вход""
3. В окне авторизации в нажать на кнопку ""Регистрация""
4. Ввести имя и номер телефона
5. Нажать на кнопку и ""Зарегистрироваться""
6. Посмотреть на результат 

*Ожидаемый результат:* На указанный номер при регистрации  приходит смс с паролем от личного кабинета
*Фактический результат:* На указанный номер при регистрации не приходит смс с паролем от личного кабинета

https://gyazo.com/c58fbc8781886ce9968ff33dd46afe11"
21153,Ошибка,Новая,Низкий,В украинской локализации рекламные банеры не переводятся,Олександр Артьомов,05/27/2023 07:54 PM,"Description

*Шаги воспроизведения:*
1) Открыть сайт
2) Выбрать укр.локализацию
3) Глянуть рекламу на главной странице сайта

*Ожидаемый результат:*  В украинской локализации рекламные банеры переводятся
*Фактический результат:*  В украинской локализации рекламные банеры не переводятся

https://gyazo.com/5d79421bdb08c9fe43f37180cfbb6534"
21152,Ошибка,Новая,Нормальный,"В разделе ""Про нас"" в украинской локализации кнопка  функциональность ""Розпродаж"" выбивает ошибку 404",Олександр Артьомов,05/27/2023 07:49 PM,"Description

Шаги воспроизведения:
1) Открыть сайт
2) Выбираем укр.локализацию
3) Переходим на страницу ""Розпродаж""

Ожидаемый результат: В разделе ""Про нас"" в украинской локализации кнопка  функциональность ""Розпродаж"" не выбивает ошибку 404
Фактический результат: В разделе ""Про нас"" в украинской локализации кнопка  функциональность ""Розпродаж"" выбивает ошибку 404

https://gyazo.com/364bb2bba94ff3fd12fbd46bbb8e9db0
https://gyazo.com/91a42546b0c339d46157ef45df0050bb"
21151,Ошибка,Новая,Низкий,"Неправильный перевод в разделе ""доставка"" в абзаце ""проверка техники""",Олександр Артьомов,05/27/2023 07:39 PM,"Description

*Шаги воспроизведения:*
1) Открыть сайт
2) Открываем раздел доставка
3) Выбираем украинскую локализацию
4) Скролим до раздела ""проверка техники""

*Ожидаемый результат:* Правильный перевод в разделе ""доставка"" в абзаце ""проверка техники""
*Фактический результат:* Неправильный перевод в разделе ""доставка"" в абзаце ""проверка техники""

https://gyazo.com/49dd71bd3b8080c60ce2366ee466b5a3"
21150,Ошибка,Новая,Нормальный,"При украинской локализации в разделе ""контакти"" поля формы для сообщения не переводятся ",Олександр Артьомов,05/27/2023 07:20 PM,"Description

*Шаги воспроизведения:*
1) Открыть сайт
2) Выбрать украинскую локализацию сайта
3) Переходим в раздел ""контакти""

*Ожидаемый результат:* При украинской локализации в разделе ""контакти"" поля формы для сообщения  переводятся
*Фактический результат:* При украинской локализации в разделе ""контакти"" поля формы для сообщения *не* переводятся

https://gyazo.com/3715db542de1d73461b26ee201c4a2e2"
21141,Ошибка,Новая,Низкий,Не меняется язык общения обратной связи,Сергей Пидтесаный,05/26/2023 04:49 PM,"   *Шаги воспроизведения:*
 1) открыть сайт;
 2) сменить язык сайта с украинского на русский;
 3) в футере открыть функционал обратной связи

  *Ожидаемый результат:*
 меняется язык общения обратной связи
   *Фактический результат:*
Не меняется язык общения обратной связи

https://prnt.sc/v2oxvQQFXHR4"
21140,Ошибка,Новая,Нормальный,"Не функционирует кнопка ""Сравнить"" ",Сергей Пидтесаный,05/26/2023 04:26 PM,"  *Шаги воспроизведения:*
 1) открыть сайт;
 2) выбрать несколько товаров для сравнения
 
  *Ожидаемый результат:*
  функционирует кнопка ""Сравнить"" 

  *Фактический результат:*
 не функционирует кнопка ""Сравнить""

https://prnt.sc/iMIj3_AaFqdZ"
21139,Ошибка,Новая,Низкий,Не отображается карта проезда в магазин,Сергей Пидтесаный,05/26/2023 04:05 PM,"   *Шаги воспроизведения:*
 1)открыть сайт;
 2)выбрать товар;
 3)зайти в оформление заказа;
 4)кликнуть на ссылку карты проезда в футере

  *Ожидаемый результат:*
 Отображается карта проезда в магазин

  *Фактический результат:*
  Не отображается карта проезда в магазин

 https://prnt.sc/zDh-GGvx-iMU"
21138,Ошибка,Новая,Нормальный,"Строка ""Поиск"". Не корректное отображения в Поисковой строке запроса ""11223344""","",05/26/2023 03:26 PM,"*Шаги воспроизведения :*
1) Открыть сайт.
2) Переходим в строку поиска в хедере 
3) Вводим значение в строке поиск *11223344*

*Ожидаемый результат:* На запрос в строке *поиск* *11223344* система предложит перепроверить корректность запроса. 
*Фактический результат:* На запрос в строке *поиск* *11223344* отображается информация о найденном товаре. 

https://gyazo.com/5d8e6702d15d22db4c286095d0b050da"
21137,Ошибка,Новая,Низкий,"При звонке из слайдера с телефонами, отпадает код телефона. ",Сергей Пидтесаный,05/26/2023 03:23 PM,"  *Шаги воспроизведения:*
 1)Открыть сайт cо смартфона;
 2)В хедере открыть слайдер с телефонами;
 3)Кликнуть на номер телефона

 *Ожидаемый результат:*
 Функционирует звонок из слайдера с телефонами
 *Фактический результат:*
 Не функционирует звонок из слайдера с телефонами
 
https://prnt.sc/Ql8wDkoYyunV"
21135,Ошибка,Новая,Низкий,Оформляется заказ с несуществующим номером телефона,Сергей Пидтесаный,05/26/2023 02:43 PM,"  *Шаги воспроизведения:*
 1)Открыть сайт;
 2)Выбрать товар;
 3)Оформить заказ с несуществующим номером телефона.

  *Ожидаемый результат:*
 Не оформляется заказ с несуществующим номером телефона
  *Фактический результат:*
 Оформляется заказ с несуществующим номером телефона

 https://prnt.sc/ASof1YrsXaZO"
21133,Ошибка,Новая,Низкий, Функционал поиска подбирает ненужные товары,Сергей Пидтесаный,05/26/2023 02:18 PM,"  *Шаги воспроизведения:*
  1) Открыть сайт;
  2) В поисковой строке написать "" ничего не надо""
  
  *Ожидаемый результат:*
 Функционал поиска подбирает нужные товары
 
  *Фактический результат:*
 Функционал поиска подобрал 37 товаров по запросу: ""ничего не надо""

 https://prnt.sc/L5_h-rVSJ3tt




https://prnt.sc/I03crhGKe5Pe

"
21130,Ошибка,Новая,Нормальный,"В мобильной версии сайта слова: ""товаров, избранное, сравнение"" не переводятся на украинский язык ",Сергей Пидтесаный,05/26/2023 01:47 PM,"   *Шаги вопроизведения:*
 1) Открыть сайт;
 2) Сменить язык на украинский;
 
   *Ожидаемый результат:*
 В мобильной версии сайта слова: ""товаров, избранное, сравнение"" переводятся на украинский язык 

   *Фактический результат:*
 В мобильной версии сайта слова: ""товаров, избранное, сравнение"" не переводятся на украинский язык 

  https://prnt.sc/_vwIJIx5icV_"
21122,Ошибка,Новая,Нормальный,"Ссылка ""Где получить промокод?"" введет на главную страницу ",Лилия Вегнер ,05/25/2023 11:04 PM,"*Шаги воспроизведения:*
1. Открыть сайт https://qwertyshop.ua
2. Добавить в корзину любой товар
3. Открыть корзину 
4. Нажать на ссылку ""Где получить промокод?""

*Ожидаемый результат:* 
По нажатую на ссылку осуществляется переход на страницу с информацией о получении промокод

*Актуальный результат:*
Ссылка переводит на главную страницу https://qwertyshop.ua/#

*Браузер:*
Safari (macOS 11.6.1)

*Скриншот:* https://prnt.sc/zlCWkPRyurwJ"
21121,Ошибка,Новая,Нормальный,Не обновляется количество товаров на иконке корзины,Лилия Вегнер ,05/25/2023 10:50 PM,"*Шаги воспроизведения:*
1. Открыть сайт https://qwertyshop.ua
2. Убедиться что корзина пуста 
3. Добавить в корзину несколько товаров
4. Открыть корзину несколько товаров 
5. Оформить заказ 
6. Убедиться что заказ прошел успешно
7. Вернуться на главную страницу

*Ожидаемый результат:* 
Корзина пуста и на иконке корзины отсутсвует количество товаров

*Актуальный результат:*
Корзина пуста и на иконки корзины осталось старое количество товаров


*Браузер:*
Safari (macOS 11.6.1)

*Скриншот:* https://prnt.sc/gHfx0wX_EAlj"
21120,Ошибка,Новая,Низкий,Смена языка на украинский слайдер не переводится.,Андрей Крицкий,05/25/2023 07:33 PM,"*Шаги воспроизведения*
1.Открыть сайт.
2.Перейти на украинский язык.
*Ожидаемый результат*
Перевод на украинский язык.
*Фактический результат*
Перевод украинского языка отсуствует.

https://gyazo.com/b339e97951961cb7da57d29bb156eb31
"
21119,Ошибка,Новая,Нормальный,"В хэдере в меню ""категории"" в разделе электротранспорт отсуствует список опридилений.",Андрей Крицкий,05/25/2023 07:25 PM,"*Шаги воспроизведения.*
1.Открыть сайт.
2.В меню ""категории"" найти электротранспорт.
3.Навести курсор.
*Ожидаемый результат*
Открывается список определений.
*Фактический результат*
Список отсуствует.

https://gyazo.com/3d8189d6d2665a53350d4f96e96f75ff"
21118,Ошибка,Новая,Нормальный,Не отвечает по запросу поисковая строка в хедере,Андрей Крицкий,05/25/2023 07:14 PM,"*Шаги воспроизведения.*
1.Открыть сайт.
2.В поисковике прописать шины.
*Ожидаемый результат*
Высвечивается раздел шины.
*Фактический результат*
Показывает много лишнего.

https://gyazo.com/edec4af539cdec13e462494e4948bece"
21117,Ошибка,Новая,Низкий,"При выборе украинского языка в ""описании товара"" текст не переводится.",Андрей Крицкий,05/25/2023 07:04 PM,"*Шаги воспроизведения*
1.Открыть сайт.
2.Зайти в категорию лэд-телевизоры.
3.В футере описание товара.
*Ожидаемый результат*
Текст на украинском языке.
*Фактический результат*
Текст на русском языке.

https://gyazo.com/f17b8429100fb39819483b00720f2bee"
21116,Ошибка,Новая,Низкий,"В футере ""написать директору"" бланк не переводится на украинский язык",Андрей Крицкий,05/25/2023 06:44 PM,"*Шаги воспроизведения*
1.Открыть сайт
2.Выбрать украинский язык
3.Опуститься в футер
4.Открыть ""написать директору""

*Ожидаемый результат*
Бланк на украинском языке.

*Фактический результат*
Бланк на русском языке.

https://gyazo.com/8a2fdc8eee2ca7a56e3a1ecf2f35cfc2"
21115,Ошибка,Новая,Нормальный,"В разделе ""лэд-телевизоры"" функционал сортировать не выполняет требование",Андрей Крицкий,05/25/2023 06:21 PM,"* *  Шаги воспроизведения.**
1. Открыть сайт.
2.Зайти в категории,лэд-телевизоры.
3.кликнуть""от дорогих к дешевым""

 * * Ожидаемый результат.**
Функционал сортирует по требованию.

 * * Фактический результат.**
Функционал путает значение.

https://gyazo.com/b1dd82e16e4953c320ced565b575ab7f
"
21114,Ошибка,Новая,Низкий,"В сплывающем окне в низу экрана, отсуствие рус. языка.",Андрей Крицкий,05/25/2023 05:56 PM,"* *Шаги воспроизведения.* *
1. Открыть сайт.
2. Обратить внимание на всплывающее окно в низу экрана.

* Ожидаемый результат.*
Перевод на рус. язык.

* Фактический результат.*
Отсуствие перевода.

https://gyazo.com/ce83bfd15f52e061c1b03308f74c38b7

"
21113,Ошибка,Новая,Высокий,"Отсутствует информация об ""Бытовая техника"" > ""Кухонные плиты"" в всплывающем меню категорий в Хедере",Виктор Войтенко,05/25/2023 03:48 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Открыть ""Категории""
3) Выбрать ""Бытовая техника""
4) Навести курсор на ""Кухонные плиты""

*Ожидаемый результат:* В меню ""Категории"", при выборе ""Бытовая техника"" присутствует информация в разделе ""Кухонные плиты""
*Фактический результат:* В меню ""Категории"", при выборе ""Бытовая техника"" отсутствует информация в разделе ""Кухонные плиты""
"
21084,Ошибка,Новая,Высокий,"После закрытия браузера сбрасывается информация из ""Сравнение"" ""Корзина"" и ""Избранное""",Виктор Войтенко,05/24/2023 06:14 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Добавить товар(ы) в ""Избранное"" или ""Сравнение"", ""Корзина""
3) Закрыть браузер
4) Открыть браузер с открытой вкладкой сайта

*Ожидаемый результат:* Добавленные товары в эти функционалы останутся после закрытия браузера
*Фактический результат:* Добавленные товары в эти функционалы сбрасываются после закрытия браузера

https://gyazo.com/bb411f105ca714407b8ff8838c458553
https://gyazo.com/0b4c0ab9a80901823d895be2f2ba8440"
21083,Ошибка,Новая,Нормальный,"Отсутствует информация в разделе ""О нас"" в ""UA"" локализации",Виктор Войтенко,05/24/2023 05:45 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Открыть раздел ""О нас"" в хедере

*Ожидаемый результат:* Присутствует информация ""О нас"" на обеих локализациях
*Фактический результат:* Присутствует информация ""О нас"" только на ""UA"" локализации

https://gyazo.com/bf50aa4fba2c4bfa322265e7f451a164
https://gyazo.com/a76d4f557ce9063ff7e93281370e2887"
21082,Ошибка,Новая,Срочный,Не приходит СМС с паролем от  личного кабинета при регистрации нового пользователя,Лилия Вегнер ,05/24/2023 04:47 PM,"*Шаги воспроизведения:*
1. Открыть сайт https://qwertyshop.ua
2. Убедиться что пользователь еще не авторизован
3. В правом верхнем углу шапки сайта нажать на кнопку ""Вход"" 
4. В окне авторизации в нажать на кнопку ""Регистрация""
5. Ввести имя и новый номер телефона 
6. Нажать на кнопку и ""Зарегистрироваться""
7. Обратить внимания на результаты регистрации ( *Скриншот* )

*Ожидаемый результат:* 
На указанный номер должна прийти смс с паролем от личного кабинета

*Актуальный результат:*
СМС не приходит в течении долгого времени (более часа)

*Браузер:*
Safari (macOS 11.6.1)

*Скриншот:*  https://prnt.sc/eID5ssjtYVXl
"
21077,Ошибка,Новая,Высокий,"В Хедере , в submenu ""Категории"" , при выборе "" Портативная техника"" отсутствует информация в разделе ""USB флеш-накопители"".",Алина  Качуривская  ,05/24/2023 04:20 PM,"*Шаги воспроизведения:*
1. Открыть сайт
2. Открыть submenu ""Категории""
3. Выбрать ""Портативная техника""
4. Навести курсор на ""USB флеш-накопители

*Ожидаемый результат:*
В Хедере , в submenu ""Категории"" , при выборе "" Портативная техника"" присутствует информация в разделе ""USB флеш-накопители"".

*Фактический результат:*
В Хедере , в submenu ""Категории"" , при выборе "" Портативная техника"" отсутствует информация в разделе ""USB флеш-накопители"".
https://prnt.sc/AGP3u4jJJM8k"
21075,Ошибка,Новая,Высокий,Результат поиска по имени товара выдает не соответствующую поиску категорию товара,Лилия Вегнер ,05/24/2023 04:12 PM,"*Шаги воспроизведения:*
1. Открыть сайт https://qwertyshop.ua
2. В строке поиска ввести слово ""ламинат""
3. Обратить внимание на результаты быстрого поиска ( *Скриншот 1* )
4. Нажать на кнопку ""Найти товар""
5. Обратить внимание на страницу с результатом поиска ( *Скриншот 2* )

*Ожидаемый результат:* 
В результатах отображается только товар относящийся к ламинату

*Актуальный результат:*
В результатах поисках отображаются товары не относящиеся к товару ламинат и не имеющие совпадения в имени товара

*Браузер:*
Safari (macOS 11.6.1)

*Скриншот 1:*  https://prnt.sc/geA4cM8os5AC
*Скриншот 2:* https://prnt.sc/HEyMCA9QPqQG"
21074,Ошибка,Новая,Нормальный,Товар Кухонная плита (Код товара: 286942) не соответствует фильтру ..... не корректное описание и фото,"",05/24/2023 04:07 PM,"*Шаги воспроизведения :*
1) Открыть сайт
2) Переходим в *Категории товара*
3) В открывшемся каталоге выбираем *Бытовая техника* - *Кухонные плиты*
4) Выставляем фильтр цвет *""Нержавейка""*
5) В открывшемся окне появляется *""ARDESTO FSC F6060PS""*

*Ожидаемый результат:* правильное отображение товара (описание и фото) при выборе фильтра ""нержавейка"" 
*Фактический результат:* при выборе фильтра ""нержавейка"" показывает товар белого цвета на фото и в описании товара .

https://gyazo.com/f81427dd16c38a5850e3f56bbf661b78

"
21073,Ошибка,Новая,Низкий,"При ""UA"" локализации сайта, наполнение корзины на русском языке",Алина  Качуривская  ,05/24/2023 04:05 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Выбрать UA локализацию
3.Добавить товар в корзину
4.Открыть корзину
*Ожидаемый результат:*
При ""UA"" локализации сайта, наполнение корзины на украинском языке

*Фактический результат:*
При ""UA"" локализации сайта, наполнение корзины на русском языке
https://prnt.sc/ybS7jo4rSqG4

"
